id,item_id,price,week,year,date_created,date_updated
2315,51014000004,17544.70,11,2024,2024-03-17T14:19:27+00:00,2024-03-17T14:19:27+00:00
7223,51014000004,18159.79,13,2024,2024-03-25T15:24:47+00:00,2024-03-27T11:14:11+00:00
11605,51014000004,18159.79,14,2024,2024-04-03T10:45:57+00:00,2024-04-03T10:45:57+00:00
15780,51014000004,17100.53,15,2024,2024-04-10T12:45:44+00:00,2024-04-10T12:45:44+00:00
19989,51014000004,17100.53,16,2024,2024-04-17T11:29:05+00:00,2024-04-17T11:29:05+00:00
24163,51014000004,17523.78,17,2024,2024-04-24T19:29:32+00:00,2024-04-24T19:29:32+00:00
28338,51014000004,17523.78,18,2024,2024-05-01T10:43:22+00:00,2024-05-01T10:43:22+00:00
32487,51014000004,16280.01,19,2024,2024-05-08T18:04:45+00:00,2024-05-08T18:04:45+00:00
36627,51014000004,16280.01,20,2024,2024-05-15T18:21:25+00:00,2024-05-15T18:21:25+00:00
40790,51014000004,20918.09,21,2024,2024-05-22T14:13:19+00:00,2024-05-22T14:13:19+00:00
44946,51014000004,20918.09,22,2024,2024-05-30T22:17:35+00:00,2024-05-30T22:17:35+00:00
49137,51014000004,17926.84,23,2024,2024-06-06T20:47:49+00:00,2024-06-06T20:47:49+00:00
53305,51014000004,17926.84,24,2024,2024-06-14T11:00:34+00:00,2024-06-14T11:00:34+00:00
57447,51014000004,15609.04,25,2024,2024-06-19T19:44:05+00:00,2024-06-19T19:44:05+00:00
61604,51014000004,15609.04,26,2024,2024-06-26T13:26:19+00:00,2024-06-26T13:26:19+00:00
65769,51014000004,11811.45,27,2024,2024-07-05T19:31:39+00:00,2024-07-05T19:31:39+00:00
69947,51014000004,11811.45,28,2024,2024-07-11T08:57:20+00:00,2024-07-11T08:57:20+00:00
74185,51014000004,12644.11,29,2024,2024-07-21T13:29:38+00:00,2024-07-21T13:29:38+00:00
78451,51014000004,12644.11,30,2024,2024-07-26T16:29:58+00:00,2024-07-26T16:29:58+00:00
82659,51014000004,9411.95,32,2024,2024-08-07T20:20:10+00:00,2024-08-09T14:32:53+00:00
86969,51014000004,13544.47,35,2024,2024-08-30T14:17:03+00:00,2024-08-30T14:17:03+00:00
91307,51014000004,12220.97,37,2024,2024-09-11T14:23:53+00:00,2024-09-11T14:23:53+00:00
95626,51014000004,12220.97,38,2024,2024-09-18T15:02:00+00:00,2024-09-18T15:02:00+00:00
99940,51014000004,12485.04,39,2024,2024-09-25T12:13:21+00:00,2024-09-25T12:13:21+00:00
104192,51014000004,12829.32,41,2024,2024-10-11T17:09:10+00:00,2024-10-11T17:09:10+00:00
108448,51014000004,14096.39,44,2024,2024-11-03T16:46:49+00:00,2024-11-03T16:46:49+00:00
112689,51014000004,14656.22,47,2024,2024-11-20T11:41:07+00:00,2024-11-20T11:41:07+00:00
116887,51014000004,14124.05,50,2024,2024-12-11T16:52:00+00:00,2024-12-11T16:52:00+00:00
121163,51014000004,11015.52,51,2024,2024-12-18T12:35:49+00:00,2024-12-18T12:35:49+00:00
125367,51014000004,10042.30,1,2025,2025-01-01T20:13:25+00:00,2025-01-01T20:13:25+00:00
129560,51014000004,11414.55,3,2025,2025-01-15T21:08:25+00:00,2025-01-15T21:08:25+00:00
133835,51014000004,11414.55,6,2025,2025-02-04T20:25:06+00:00,2025-02-04T20:25:06+00:00
138250,51014000004,17360.12,10,2025,2025-03-03T17:25:51+00:00,2025-03-03T17:25:51+00:00
142787,51014000004,11548.40,11,2025,2025-03-12T11:05:02+00:00,2025-03-12T11:05:02+00:00
147294,51014000004,13785.96,13,2025,2025-03-26T16:30:13+00:00,2025-03-26T16:30:13+00:00
151816,51014000004,11602.17,15,2025,2025-04-09T13:38:38+00:00,2025-04-09T13:38:38+00:00
156336,51014000004,10687.25,17,2025,2025-04-23T12:08:06+00:00,2025-04-23T12:08:06+00:00
160795,51014000004,9710.64,19,2025,2025-05-07T13:07:12+00:00,2025-05-07T13:07:12+00:00
165279,51014000004,6029.65,21,2025,2025-05-21T19:50:55+00:00,2025-05-21T19:50:55+00:00
165280,51014000004,17083.42,23,2025,2025-06-04T11:22:24+00:00,2025-06-04T11:22:24+00:00
